Equivalent widths of CH4 and NH3 as function of airmass
along equator. Units are nm
Number of locations =          551
Airmass,   W_CH4,  W_NH3
      2.05900      2.13930     0.596739
      2.05415      2.18393     0.586600
      2.04962      2.21316     0.586125
      2.24291      2.04997     0.526439
      2.22899      2.02223     0.533780
      2.21571      2.01559     0.522091
      2.20305      1.95834     0.566863
      2.19098      1.99025     0.548485
      2.17947      2.03538     0.544588
      2.16849      2.04276     0.548230
      2.15804      2.08908     0.577203
      2.14808      2.08297     0.593631
      2.13859      2.15381     0.575092
      2.12956      2.12575     0.585621
      2.12098      2.13776     0.583483
      2.11282      2.11056     0.601547
      2.10507      2.09906     0.631837
      2.09772      2.12912     0.637496
      2.09076      2.10091     0.628714
      2.08417      2.11822     0.619291
      2.07795      2.10006     0.632656
      2.32728      1.99096     0.453954
      2.30948      2.00194     0.454920
      2.29253      1.99142     0.494444
      2.27638      1.99235     0.496508
      2.26099      2.04745     0.470938
      2.24632      1.95719     0.494686
      2.23234      2.01497     0.510484
      2.21900      1.97717     0.533974
      2.20628      1.96810     0.514841
      2.19416      1.96702     0.534126
      2.18260      1.97847     0.517702
      2.17158      2.02669     0.563513
      2.16108      2.04557     0.579693
      2.15108      2.02694     0.563235
      2.14155      2.11963     0.616626
      2.13249      2.04784     0.604349
      2.12387      2.03662     0.587388
      2.46011      1.93087     0.421241
      2.43582      1.92964     0.405343
      2.41278      1.98243     0.412417
      2.39090      1.96863     0.424608
      2.37012      2.01051     0.424264
      2.35035      1.93589     0.446019
      2.33155      1.99944     0.474008
      2.31366      2.01734     0.490157
      2.29662      2.02152     0.492706
      2.28038      1.99582     0.526819
      2.26491      1.98652     0.480081
      2.25016      2.02816     0.500370
      2.23610      1.98414     0.523761
      2.22270      1.99378     0.532986
      2.20992      2.15456     0.536428
      2.19774      2.00797     0.528503
      2.18612      2.01561     0.534998
      2.17505      2.00527     0.550249
      2.64501      1.97003     0.601226
      2.61061      1.99560     0.421978
      2.57822      2.01770     0.451167
      2.54767      2.01551     0.416247
      2.51883      2.04070     0.421003
      2.49156      1.90355     0.417433
      2.46574      1.92430     0.402923
      2.44128      1.93515     0.418783
      2.41808      1.97506     0.403334
      2.39606      1.94155     0.398895
      2.37513      1.95181     0.406434
      2.35524      1.96221     0.499074
      2.33632      2.00815     0.499754
      2.31831      2.00628     0.512532
      2.30117      2.00160     0.541178
      2.28483      2.02697     0.510734
      2.26927      1.98432     0.506946
      2.25444      1.99297     0.542339
      2.91671      1.91283     0.330094
      2.86464      1.87680     0.328810
      2.81627      1.89911     0.397949
      2.77121      1.91336     0.386235
      2.72913      1.99314     0.379212
      2.68973      1.96333     0.387331
      2.65279      1.94906     0.436415
      2.61807      1.98907     0.429388
      2.58539      1.98001     0.407407
      2.55458      1.97943     0.391153
